,Age,MP,Starts,Min,Gls,Ast,CrdY,Shot,FK,TotPassCmpPerc,Prog
Divock Origi,23.0,12.0,4.0,371.0,3.0,1.0,0.0,13.0,1.0,67.0,9.0
Alberto Moreno,26.0,2.0,2.0,154.0,0.0,0.0,0.0,1.0,0.0,87.3,15.0
Nathaniel Clyne,27.0,4.0,1.0,111.0,0.0,0.0,0.0,3.0,0.0,81.0,10.0
Alex Oxlade-Chamberlain,24.0,2.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,85.7,6.0
Rafael Camacho,18.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,
César Azpilicueta,28.0,38.0,38.0,3402.0,1.0,5.0,4.0,17.0,0.0,85.4,231.0
Jorginho,26.0,37.0,37.0,3156.0,2.0,0.0,8.0,18.0,0.0,89.1,317.0
Kepa Arrizabalaga,23.0,36.0,36.0,3240.0,0.0,0.0,2.0,0.0,0.0,85.7,1.0
David Luiz,31.0,36.0,36.0,3238.0,3.0,2.0,3.0,33.0,9.0,87.5,232.0
N'Golo Kanté,27.0,36.0,36.0,3092.0,4.0,4.0,3.0,29.0,0.0,87.8,150.0
Antonio Rüdiger,25.0,33.0,33.0,2871.0,1.0,0.0,7.0,28.0,0.0,91.4,149.0
Eden Hazard,27.0,37.0,32.0,2923.0,16.0,15.0,2.0,90.0,2.0,79.8,269.0
Marcos Alonso,27.0,31.0,31.0,2759.0,2.0,4.0,6.0,43.0,8.0,82.6,175.0
Willian,29.0,32.0,26.0,2097.0,3.0,6.0,2.0,62.0,8.0,77.8,186.0
Pedro,31.0,31.0,21.0,1778.0,8.0,2.0,2.0,58.0,0.0,83.7,77.0
Mateo Kovačić,24.0,32.0,21.0,1735.0,0.0,2.0,3.0,29.0,0.0,91.2,100.0
Ross Barkley,24.0,27.0,13.0,1245.0,3.0,5.0,1.0,38.0,1.0,90.5,66.0
Gonzalo Higuaín,30.0,14.0,13.0,1085.0,5.0,0.0,0.0,45.0,0.0,77.8,11.0
Álvaro Morata,25.0,16.0,11.0,941.0,5.0,0.0,3.0,35.0,0.0,78.1,5.0
Olivier Giroud,31.0,27.0,7.0,847.0,2.0,4.0,1.0,31.0,0.0,69.3,12.0
Emerson Palmieri,23.0,10.0,7.0,663.0,0.0,0.0,0.0,5.0,2.0,87.1,37.0
Ruben Loftus-Cheek,22.0,24.0,6.0,998.0,6.0,2.0,0.0,27.0,0.0,88.0,51.0
Andreas Christensen,22.0,8.0,6.0,617.0,0.0,0.0,1.0,0.0,0.0,93.3,32.0
Callum Hudson-Odoi,17.0,10.0,4.0,393.0,0.0,1.0,0.0,6.0,0.0,81.4,16.0
Willy Caballero,36.0,2.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0
