,Age,MP,Starts,Min,Gls,Ast,CrdY,Shot,FK,TotPassCmpPerc,Prog,Att 3rd,DribSucc,DribPl,Rec
Martin Dúbravka,29.0,38.0,38.0,3420.0,0.0,0.0,1.0,0.0,0.0,59.5,0.0,0.0,1.0,1.0,438.0
Matt Ritchie,28.0,36.0,35.0,2928.0,2.0,8.0,9.0,39.0,0.0,65.6,216.0,788.0,17.0,17.0,1014.0
Ayoze Pérez,25.0,37.0,34.0,2917.0,12.0,2.0,2.0,53.0,0.0,75.0,68.0,562.0,63.0,67.0,834.0
Jamaal Lascelles,24.0,32.0,32.0,2745.0,0.0,1.0,4.0,10.0,0.0,76.9,53.0,53.0,3.0,3.0,685.0
Salomón Rondón,28.0,32.0,30.0,2603.0,11.0,7.0,1.0,89.0,9.0,69.7,55.0,563.0,20.0,24.0,892.0
DeAndre Yedlin,25.0,29.0,28.0,2473.0,1.0,2.0,6.0,11.0,0.0,71.5,156.0,455.0,10.0,10.0,635.0
Mohamed Diamé,31.0,29.0,24.0,2166.0,0.0,0.0,3.0,21.0,0.0,77.1,45.0,192.0,23.0,27.0,581.0
Fabian Schär,26.0,24.0,22.0,1999.0,4.0,1.0,12.0,23.0,1.0,67.9,77.0,110.0,12.0,13.0,765.0
Paul Dummett,26.0,26.0,21.0,1990.0,0.0,0.0,1.0,8.0,0.0,72.3,104.0,164.0,2.0,3.0,537.0
Isaac Hayden,23.0,25.0,21.0,1859.0,1.0,4.0,3.0,20.0,0.0,80.2,55.0,229.0,11.0,13.0,513.0
Federico Fernández,29.0,19.0,17.0,1484.0,0.0,1.0,2.0,4.0,0.0,77.7,45.0,28.0,2.0,2.0,436.0
Christian Atsu,26.0,28.0,15.0,1493.0,1.0,0.0,2.0,28.0,0.0,73.8,31.0,318.0,31.0,33.0,448.0
Kenedy,22.0,25.0,14.0,1348.0,1.0,1.0,1.0,29.0,1.0,70.4,53.0,288.0,42.0,46.0,435.0
Ki Sung-yueng,29.0,18.0,14.0,1302.0,0.0,1.0,2.0,9.0,1.0,80.7,82.0,179.0,4.0,5.0,433.0
Javier Manquillo,24.0,18.0,12.0,1101.0,0.0,3.0,2.0,2.0,0.0,68.1,77.0,208.0,5.0,6.0,303.0
Florian Lejeune,27.0,12.0,12.0,1054.0,0.0,0.0,0.0,6.0,0.0,77.1,33.0,41.0,3.0,3.0,395.0
Jonjo Shelvey,26.0,16.0,10.0,948.0,1.0,1.0,1.0,24.0,5.0,67.6,99.0,190.0,14.0,15.0,470.0
Ciaran Clark,28.0,11.0,9.0,858.0,3.0,0.0,1.0,7.0,0.0,74.5,19.0,29.0,0.0,0.0,193.0
Miguel Almirón,24.0,10.0,9.0,759.0,0.0,0.0,0.0,19.0,0.0,72.3,28.0,199.0,7.0,10.0,242.0
Sean Longstaff,20.0,9.0,8.0,687.0,1.0,0.0,2.0,8.0,0.0,80.0,27.0,55.0,5.0,5.0,202.0
Joselu,28.0,16.0,5.0,596.0,2.0,0.0,1.0,16.0,0.0,63.6,12.0,105.0,7.0,7.0,207.0
Yoshinori Mutō,26.0,17.0,5.0,524.0,1.0,0.0,1.0,5.0,0.0,70.1,8.0,95.0,11.0,11.0,123.0
Jacob Murphy,23.0,9.0,3.0,302.0,0.0,1.0,0.0,2.0,0.0,54.9,9.0,57.0,3.0,3.0,58.0
Antonio Barreca,23.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,33.3,1.0,1.0,0.0,0.0,3.0
Nathan Aké,23.0,38.0,38.0,3411.0,4.0,0.0,3.0,22.0,0.0,86.4,91.0,142.0,3.0,3.0,1283.0
Ryan Fraser,24.0,38.0,35.0,3166.0,7.0,14.0,2.0,50.0,3.0,67.7,225.0,947.0,22.0,25.0,1274.0
Joshua King,26.0,35.0,34.0,2961.0,12.0,3.0,3.0,64.0,0.0,69.9,94.0,703.0,73.0,79.0,1002.0
Steve Cook,27.0,31.0,31.0,2786.0,1.0,1.0,3.0,22.0,0.0,77.7,117.0,146.0,4.0,4.0,1093.0
Callum Wilson,26.0,30.0,29.0,2528.0,14.0,9.0,3.0,63.0,0.0,70.0,45.0,419.0,22.0,27.0,580.0
Jefferson Lerma,23.0,30.0,29.0,2506.0,2.0,0.0,12.0,33.0,0.0,84.3,117.0,313.0,28.0,28.0,1168.0
David Brooks,21.0,30.0,29.0,2261.0,7.0,5.0,3.0,41.0,0.0,73.8,110.0,514.0,42.0,49.0,870.0
Adam Smith,27.0,25.0,25.0,2066.0,1.0,1.0,5.0,8.0,0.0,80.2,116.0,375.0,18.0,19.0,753.0
Asmir Begović,31.0,24.0,24.0,2160.0,0.0,0.0,0.0,0.0,0.0,68.1,1.0,2.0,0.0,0.0,208.0
Dan Gosling,28.0,25.0,19.0,1739.0,2.0,1.0,8.0,21.0,0.0,79.4,100.0,204.0,8.0,8.0,751.0
Charlie Daniels,31.0,21.0,17.0,1585.0,1.0,0.0,4.0,13.0,0.0,77.0,112.0,336.0,13.0,16.0,678.0
Andrew Surman,31.0,18.0,16.0,1439.0,0.0,0.0,2.0,9.0,0.0,86.4,85.0,161.0,4.0,4.0,652.0
Simon Francis,33.0,17.0,13.0,1229.0,0.0,2.0,1.0,3.0,0.0,73.4,94.0,200.0,4.0,4.0,540.0
Nathaniel Clyne,27.0,14.0,13.0,1143.0,0.0,1.0,2.0,2.0,0.0,77.2,76.0,206.0,6.0,6.0,359.0
Artur Boruc,38.0,12.0,12.0,1080.0,0.0,0.0,2.0,0.0,0.0,64.3,0.0,0.0,0.0,0.0,103.0
Junior Stanislas,28.0,23.0,11.0,1031.0,2.0,3.0,1.0,33.0,10.0,76.2,66.0,319.0,17.0,18.0,470.0
Chris Mepham,20.0,13.0,10.0,850.0,0.0,1.0,1.0,2.0,0.0,82.9,22.0,12.0,4.0,5.0,290.0
Jordon Ibe,22.0,19.0,9.0,797.0,1.0,1.0,1.0,9.0,0.0,75.1,44.0,220.0,25.0,25.0,284.0
Lewis Cook,21.0,13.0,8.0,723.0,0.0,0.0,2.0,3.0,0.0,82.0,40.0,95.0,9.0,9.0,318.0
Diego Rico,25.0,12.0,5.0,612.0,0.0,0.0,1.0,9.0,1.0,67.8,67.0,147.0,5.0,6.0,233.0
Jack Simpson,21.0,6.0,4.0,403.0,0.0,0.0,0.0,2.0,0.0,84.9,10.0,6.0,0.0,0.0,171.0
Dominic Solanke,20.0,10.0,2.0,347.0,0.0,1.0,0.0,9.0,0.0,72.3,6.0,81.0,9.0,9.0,119.0
Mark Travers,19.0,2.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,75.4,1.0,0.0,0.0,0.0,22.0
Tyrone Mings,25.0,5.0,2.0,143.0,0.0,0.0,0.0,0.0,0.0,81.3,6.0,7.0,1.0,1.0,63.0
Lys Mousset,22.0,24.0,1.0,368.0,1.0,0.0,1.0,13.0,0.0,71.1,10.0,96.0,5.0,7.0,146.0
Emerson Hyndman,22.0,1.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,73.9,1.0,5.0,0.0,0.0,21.0
Jermain Defoe,35.0,4.0,0.0,25.0,0.0,0.0,0.0,1.0,0.0,,0.0,2.0,0.0,0.0,1.0
Sam Surridge,20.0,2.0,0.0,13.0,0.0,0.0,0.0,2.0,0.0,60.0,0.0,7.0,0.0,0.0,7.0
