,index,Age,MP,Starts,CrdY,P90Gls,P90Ast,90s,Sh/90,SoT/90,TotPassCmp,KP,Prog,DribPl,Annual_Salary(GBP),Pos
284,matthew lowton,29.0,21.0,19.0,7.0,0.0,0.0,19.4,0.26,0.0,623.0,8.0,131.0,15.0,1300000.0,D
285,max kilman,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,D
286,max meyer,22.0,29.0,15.0,3.0,0.06,0.13,15.7,2.22,0.38,566.0,23.0,56.0,19.0,6500000.0,M
287,maya yoshida,29.0,17.0,17.0,0.0,0.0,0.06,16.9,0.77,0.18,424.0,6.0,33.0,2.0,2600000.0,D
288,mesut ozil,29.0,24.0,20.0,2.0,0.26,0.1,19.3,0.57,0.31,1028.0,46.0,147.0,19.0,18200000.0,M
289,michael keane,25.0,33.0,33.0,2.0,0.03,0.06,33.0,0.88,0.27,1285.0,8.0,108.0,7.0,3120000.0,D
290,michael obafemi,18.0,6.0,1.0,1.0,0.66,0.66,1.5,5.26,1.31,17.0,2.0,3.0,2.0,NaN,F
291,michail antonio,28.0,33.0,22.0,3.0,0.26,0.17,23.4,2.78,1.07,513.0,20.0,76.0,63.0,3640000.0,F
292,michel vorm,34.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,51.0,0.0,0.0,0.0,2080000.0,G
293,michy batshuayi,24.0,11.0,9.0,0.0,0.6,0.0,8.3,3.12,1.2,111.0,1.0,7.0,14.0,5200000,F
294,miguel almiron,24.0,10.0,9.0,0.0,0.0,0.0,8.4,2.25,0.95,188.0,12.0,28.0,10.0,NaN,F
295,miguel britos,33.0,3.0,2.0,0.0,0.0,0.0,2.1,0.0,0.0,48.0,0.0,5.0,0.0,1300000.0,D
296,mohamed diame,31.0,29.0,24.0,3.0,0.0,0.0,24.1,0.87,0.12,571.0,1.0,45.0,27.0,2340000.0,M
297,mohamed elneny,26.0,8.0,5.0,0.0,0.0,0.0,4.2,1.66,0.0,259.0,4.0,28.0,1.0,2600000.0,M
298,mohamed elyounoussi,23.0,16.0,8.0,0.0,0.0,0.0,8.8,2.16,0.68,176.0,13.0,27.0,12.0,3120000.0,M
299,mohamed salah,26.0,38.0,37.0,1.0,0.61,0.22,36.1,3.74,1.66,864.0,68.0,158.0,86.0,10400000.0,F
300,morgan gibbs-white,18.0,26.0,5.0,1.0,0.0,0.14,7.4,1.09,0.14,271.0,12.0,23.0,15.0,78000.0,M
301,morgan schneiderlin,28.0,14.0,10.0,2.0,0.0,0.11,9.3,0.32,0.0,484.0,9.0,29.0,7.0,5200000.0,M
302,mousa dembele,31.0,10.0,7.0,1.0,0.0,0.0,5.7,0.17,0.0,278.0,0.0,23.0,7.0,NaN,M
303,moussa sissoko,28.0,29.0,27.0,2.0,0.0,0.12,25.9,0.58,0.12,1205.0,23.0,102.0,49.0,4160000.0,M
304,n'golo kante,27.0,36.0,36.0,3.0,0.12,0.12,34.4,0.84,0.17,1805.0,47.0,150.0,36.0,7500000.0,M
305,naby keita,23.0,25.0,16.0,0.0,0.13,0.06,15.4,1.81,0.58,898.0,10.0,114.0,30.0,6240000.0,M
306,nacho monreal,32.0,22.0,21.0,5.0,0.05,0.15,20.7,0.44,0.19,1121.0,11.0,101.0,10.0,3640000.0,D
307,nampalys mendy,26.0,31.0,23.0,5.0,0.0,0.0,23.2,0.13,0.0,969.0,6.0,80.0,21.0,2600000.0,M
308,nathan ake,23.0,38.0,38.0,3.0,0.11,0.0,37.9,0.58,0.21,1469.0,5.0,91.0,3.0,2080000.0,D
309,nathan redmond,24.0,38.0,36.0,3.0,0.17,0.11,36.3,2.04,0.61,877.0,55.0,111.0,116.0,3120000.0,F
