,index,MP,Starts,Min,Gls,Ast,ShotonTarget,TotPassCmp,Prog,Touches_Att3rd,DribSucc,DribPl,Rec,Annual_Salary(GBP)
97,danny rose,26.0,20.0,1798.0,0.0,3.0,2.0,869.0,130.0,534.0,35.0,39.0,898.0,3120000.0
98,danny simpson,6.0,3.0,292.0,0.0,0.0,0.0,108.0,21.0,25.0,0.0,0.0,81.0,2340000.0
99,danny welbeck,8.0,1.0,153.0,1.0,1.0,2.0,41.0,11.0,36.0,3.0,3.0,56.0,6500000.0
100,daryl janmaat,18.0,17.0,1520.0,0.0,2.0,1.0,563.0,105.0,252.0,12.0,13.0,484.0,2340000.0
101,david brooks,30.0,29.0,2261.0,7.0,5.0,21.0,649.0,110.0,514.0,42.0,49.0,870.0,1040000.0
102,david button,4.0,4.0,360.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,37.0,833333.0
103,david de gea,38.0,38.0,3420.0,0.0,0.0,0.0,712.0,1.0,1.0,0.0,0.0,422.0,10400000.0
104,david luiz,36.0,36.0,3238.0,3.0,2.0,8.0,2293.0,232.0,137.0,8.0,8.0,2143.0,6240000.0
105,david silva,33.0,28.0,2401.0,6.0,8.0,18.0,1783.0,204.0,1174.0,27.0,31.0,1911.0,11440000.0
106,davide zappacosta,4.0,1.0,128.0,0.0,0.0,1.0,77.0,7.0,34.0,4.0,4.0,70.0,3640000.0
107,davinson sanchez,23.0,22.0,1942.0,1.0,1.0,3.0,1289.0,52.0,39.0,0.0,0.0,1152.0,3380000.0
108,davy propper,30.0,30.0,2546.0,1.0,1.0,2.0,980.0,130.0,339.0,36.0,40.0,975.0,2340000.0
109,deandre yedlin,29.0,28.0,2473.0,1.0,2.0,2.0,784.0,156.0,455.0,10.0,10.0,635.0,1560000.0
110,declan rice,34.0,34.0,3003.0,2.0,0.0,5.0,1364.0,85.0,219.0,25.0,25.0,1078.0,156000.0
111,dejan lovren,13.0,11.0,986.0,1.0,0.0,1.0,716.0,29.0,20.0,0.0,0.0,655.0,5200000.0
112,dele alli,25.0,22.0,1825.0,5.0,3.0,18.0,843.0,99.0,567.0,28.0,33.0,965.0,5200000.0
113,demarai gray,34.0,23.0,1985.0,4.0,1.0,19.0,523.0,46.0,488.0,46.0,46.0,733.0,2860000.0
114,denis suarez,4.0,0.0,71.0,0.0,0.0,0.0,32.0,2.0,15.0,3.0,3.0,38.0,0.0
115,diego rico,12.0,5.0,612.0,0.0,0.0,0.0,259.0,67.0,147.0,5.0,6.0,233.0,1001000.0
116,diogo dalot,16.0,12.0,1013.0,0.0,2.0,0.0,395.0,69.0,249.0,12.0,13.0,392.0,1300000.0
117,diogo jota,33.0,29.0,2355.0,9.0,5.0,23.0,597.0,78.0,582.0,58.0,65.0,870.0,2860000.0
118,divock origi,12.0,4.0,371.0,3.0,1.0,6.0,77.0,9.0,98.0,8.0,9.0,127.0,2340000.0
119,domingos quina,8.0,3.0,338.0,1.0,0.0,1.0,198.0,19.0,64.0,8.0,9.0,202.0,416000.0
120,dominic calvert-lewin,35.0,19.0,1784.0,6.0,2.0,17.0,283.0,21.0,410.0,25.0,27.0,554.0,1040000.0
121,dominic solanke,10.0,2.0,347.0,0.0,1.0,3.0,73.0,6.0,81.0,9.0,9.0,119.0,1300000.0
122,dwight mcneil,21.0,19.0,1591.0,3.0,5.0,6.0,383.0,69.0,358.0,33.0,36.0,478.0,0.0
123,eddie nketiah,5.0,0.0,67.0,1.0,0.0,1.0,19.0,2.0,23.0,2.0,2.0,26.0,0.0
124,eden hazard,37.0,32.0,2923.0,16.0,15.0,39.0,1595.0,269.0,1673.0,134.0,143.0,2082.0,11700000.0
125,ederson,38.0,38.0,3420.0,0.0,1.0,0.0,918.0,3.0,0.0,1.0,1.0,628.0,0.0
126,emerson hyndman,1.0,0.0,38.0,0.0,0.0,0.0,17.0,1.0,5.0,0.0,0.0,21.0,780000.0
127,emerson palmieri,10.0,7.0,663.0,0.0,0.0,1.0,451.0,37.0,251.0,10.0,11.0,422.0,2184000.0
128,eric bailly,12.0,8.0,638.0,0.0,0.0,1.0,267.0,10.0,10.0,2.0,2.0,233.0,4160000.0
129,eric dier,20.0,18.0,1506.0,3.0,0.0,3.0,890.0,78.0,137.0,4.0,4.0,880.0,3120000.0
130,erik lamela,19.0,9.0,974.0,4.0,2.0,11.0,368.0,47.0,342.0,21.0,23.0,437.0,4160000.0
131,etienne capoue,33.0,33.0,2944.0,1.0,3.0,3.0,1482.0,164.0,244.0,32.0,32.0,1285.0,2080000.0
